NOM;ANNE;GENRE
Qu'est-ce qu'on a fait au Bon Dieu?;2014-04-16;comedie
Le rôle de ma vie;2014-08-13;comedie
La Légende de Manolo;2014-10-22;comedie
Dumb&Dumber De;2014-12-17;comedie
Sex Friends;2011-02-16;comedie
SMS;2014-08-20;comedie
Crazy, Stupid, Love;2011-09-14;comedie
Pride;2014-09-17;comedie
L’ Interview qui tue !;2015-01-28;comedie
Discount;2015-01-21;comedie
Bis;2015-02-18;comedie
Birdman;2015-02-25;comedie
La Nuit au musée : Le Secret des Pharaons;2015-02-04;comedie
Snow Therapy;2015-01-28;comedie
Quai d'Orsay;2013-11-06;comedie
22 Jump Street;2014-08-27;comedie
The Grand Budapest Hotel;2014-02-26;comedie
Des Lendemains qui chantent;2014-08-20;comedie
Babysitting;2014-04-16;comedie
Les Francis;2014-07-23;comedie
Un Village presque parfait;2015-02-11;comedie
Le Père Noël;2014-12-10;comedie
Benoît Brisefer : les Taxis Rouges;2014-12-17;comedie
Magic in the Moonlight;2014-10-22;comedie
Samba;2014-10-15;comedie
L'Ex de ma vie;2014-06-25;comedie
Nos pires voisins;2014-08-06;comedie
Mais comment font les femmes ?;2011-09-21;comedie
Pitch Perfect 2;2015-07-22;comedie
Fastlife;2014-07-16;comedie
Barbecue;2014-04-30;comedie
Au bonheur des ogres;2013-10-16;comedie
A toute épreuve;2014-07-09;comedie
Et (beaucoup) plus si affinités;2014-10-29;comedie
Orgueil et préjugés;2006-01-18;comedie
Diversion;2015-03-11;comedie
Last Vegas;2013-11-27;comedie
Inherent Vice;2015-03-04;comedie
Le Crocodile du Botswanga;2014-02-19;comedie
Intouchables;2011-11-02;comedie
Charlie et la chocolaterie;2005-07-13;comedie
Une grande année;2007-01-03;comedie
Les Garçons et Guillaume, à table !;2013-11-20;comedie
Snatch;2000-11-15;comedie
Les Vacances du Petit Nicolas;2014-07-09;comedie
Malavita;2013-10-23;comedie
16 ans ou presque;2013-12-18;comedie
Don Jon;2013-12-25;comedie
Arrête-moi si tu peux;2003-02-12;comedie
Fiston;2014-03-12;comedie
Jamais le premier soir;2014-01-01;comedie
La Vie est belle;1998-10-21;comedie
Good Morning England;2009-05-06;comedie
Les Profs;2013-04-17;comedie
Les Gorilles;2015-04-15;comedie
20 ans d'écart;2013-03-06;comedie
C'est la fin;2013-10-09;comedie
Gemma Bovery;2014-09-10;comedie
Comme des frères;2012-11-21;comedie
Magic Mike XXL;2015-08-05;comedie
Iznogoud;2005-02-09;comedie
Mise à l'épreuve;2014-05-14;comedie
Les Tuche;2011-07-01;comedie
Les Infidèles;2012-02-29;comedie
The Hit Girls;2013-05-08;comedie
Le Dernier pub avant la fin du monde;2013-08-28;comedie
Pirates des Caraïbes : la Fontaine de Jouvence;2011-05-18;comedie
Starbuck;2012-06-27;comedie
La Cage Dorée;2013-04-24;comedie
Je fais le mort;2013-12-11;comedie
Les Nouvelles aventures d'Aladin;2015-10-14;comedie
The Truman Show;1998-10-28;comedie
Afrik'Aïoli;2014-01-22;comedie
Family Man;2000-12-20;comedie
Les Mondes de Ralph;2012-12-05;comedie
Shaun of the Dead;2005-07-27;comedie
Burn After Reading;2008-12-10;comedie
La Vraie vie des profs;2013-02-20;comedie
De l'autre côté du périph;2012-12-19;comedie
12 ans d'âge;2013-06-26;comedie
Ce que pensent les hommes;2009-02-11;comedie
Chroniques sexuelles d'une famille d'aujourd'hui;2012-05-09;comedie
Happy New Year;2011-12-21;comedie
Kick-Ass 2;2013-08-21;comedie
Red;2010-11-17;comedie
Prêt à tout;2014-01-22;comedie
Inherent Vice;2015-03-04;policier
Les Infiltrés;2006-11-29;policier
Seven;1996-01-31;policier
La Prochaine fois je viserai le coeur;2014-11-12;policier
Chaos;2006-01-18;policier
Dom Hemingway;2014-06-04;policier
Fargo;1996-09-04;policier
