user,latitude,longitude
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
clemy075,48.86219263,2.28795251
Map_Game,48.8567,2.35099
QuoteAdo_,48.884831,2.26851
Disk124,48.856614,2.3522219
B2Onaparte,48.835237,2.241131
aZZed,48.8402786,2.37041
gregfinck,48.8567,2.3508
fabienlemaire,48.86478224,2.35006462
mppaillettes,48.85114088,2.33969666
jwoitt,48.8927689,2.23945141
adriana_nborges,48.88951448,2.23002171
Disk124,48.856614,2.3522219
Kofy_Sdeeh,48.96869823,2.28648715
OMFGITSLORIS,48.90448152,2.4363336
_AudreyP,48.83450671,2.34883457
J_2and2_C,48.858457,2.347362
robmintzes,48.8567,2.3508
pacteau,48.8676491,2.34761
GlblCanuck,48.8590256,2.29811714
Disk124,48.856614,2.3522219
nicolas_tlrn,48.86680603,2.34977685
LocosMaruecos,48.79127885,2.39029689
L_altro,48.85764576,2.34093773
_ParisFR,48.85693,2.3412
sixeliswizard,48.8087344,2.4231112
adammakeup,48.86056285,2.35173393
kallewesterling,48.88669444,2.343
MadameFerre,48.75796317,2.38652688
chadevans1019,48.8639183,2.352
trierweiler3,48.873797,2.294952
VincentKHENG,48.84744829,2.28348255
_laurennelson_,48.8544657,2.3331141
melmichetmartin,48.8509712,2.38164
DeniseMSwank,48.9361382,2.35832
Anna_Mnk,48.83953128,2.3074122
JosianaM_,48.91411975,2.2976179
OrnellaPemjean,48.77787675,2.30549486
GabrielFrisby,48.85393297,2.35564471
hadrienlacoste,48.86790231,2.32983239
_Lamininho,48.8973694,2.3891699
LouiseNugue,48.86674815,2.39287515
BCritique,48.84433,2.330521
Disk124,48.856614,2.3522219
AlexLefeuvre,48.871467,2.378596
buzzstation,48.9331,2.239146
JulCafetaoGB,48.87374075,2.32901089
jordsels,48.87561552,2.34821116
yanarudkovskaya,48.94978823,2.4307251
BCritique,48.87408,2.344293
TresorParisien,48.864983,2.337749
Benouat,48.83020897,2.31034454
Anna_Mnk,48.83769991,2.30583209
EmericVGR,48.8487446,2.4588561
christoph_knoth,48.8567,2.3508
smallamericano,48.8762817,2.2951601
smallamericano,48.8762817,2.2951601
JosianaM_,48.9142267,2.29772355
akaltinsoy,48.8693,2.3713
RomeoCavalcante,48.87850947,2.35606371
kartenquizde,48.8567,2.35099
RaphaLaVanille,48.86788416,2.35503521
OMFGITSLORIS,48.90440432,2.43607007
salles_obscures,48.8772416,2.32990028
ramialalic,48.8688011,2.3008299
geekegluk,48.83277518,2.24065803
BeverlyIDF,48.85483,2.36738
Anna_Mnk,48.83953402,2.30748292
negresseverte,48.84029204,2.37088179
hamda_14_,48.8708916,2.3029799
blackoiseau,48.86859192,2.3721315
Disk124,48.856614,2.3522219
AndreaJanke,48.856614,2.3522219
michtang_paris,48.87084452,2.29621395
tanukichi10,48.87728968,2.35871644
Disk124,48.856614,2.3522219
VincentKHENG,48.84697524,2.28496313
FranceBidet,48.870248,2.316348
GerardSoubiran,48.8910737,2.24142766
Skyseb,48.80000645,2.20928015
JulienFroment,48.86544194,2.3357826
GerardSoubiran,48.89052571,2.24215508
bgelder,48.86439139,2.36457939
LeahViveros,48.849155,2.37538333
lesnums_rss,48.89235907,2.37007244
lesnums_rss,48.89235907,2.37007244
saleeyaa,48.8580396,2.3474176
O_Celiaa,48.8321154,2.3831165
juliopenas,48.8590256,2.29811714
sandrakubicka,48.86309274,2.34511817
Hxrry_StylxsSGP,48.93126714,2.42613036
BCritique,48.865133,2.337082
RoyalCloset1,48.882839,2.343059
trendinaliaPAR,48.8569,2.3412
poptart822,48.8654518,2.3447001
SebastosXV,48.8354347,2.2859924
QuentinLafon,48.89218722,2.33991824
trendinaliaFR,48.8569,2.3412
judithbenhamou,48.83730284,2.33157599
Shell_Syndicate,48.8581429,2.3056183
ClaraTonnelier,48.8497391,2.3771999
BCritique,48.866177,2.364411
BCritique,48.840078,2.323382
_ks17_,48.85921823,2.19544911
lionelrigal,48.85335374,2.34260375
lenamhf,48.8590256,2.29811714
Clemoue,48.84869961,2.39635309
SofiaaGL,48.86064928,2.33708382
lionelrigal,48.85297698,2.34550995
TiHub,48.81801112,2.38168983
lionelrigal,48.85219961,2.34436674
judithbenhamou,48.83730284,2.33157599
charleszaw,48.87357863,2.33206272
lionelrigal,48.85240736,2.3440384
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
BCritique,48.859804,2.353093
maevadebelsx,48.85421158,2.35261917
RaphaelleRL,48.8839259,2.31047542
OrnellaPemjean,48.77782341,2.30548934
UnMondeAilleurs,48.8679855,2.32568892
LocosMaruecos,48.79130851,2.3902671
KevinGdeK,48.88068904,2.37774515
alexady,48.87930826,2.30933905
frrrfrdrc,48.88200684,2.33033273
Hetooune,48.87578469,2.39731622
OMFGITSLORIS,48.90449652,2.43634055
Sebsabot,48.8615298,2.3034028
Jun_negro,48.96106487,2.34580108
EmericVGR,48.8487446,2.4588561
Cheikh_Dione,48.9616401,2.3983108
Private_Gigs,48.9135006,2.28592946
mimia77,48.86437131,2.29666241
Tiana_PC,48.89629317,2.29518783
tomlinavys,48.84459458,2.34486396
Thesunlightface,48.86056285,2.35173393
seb_doze,48.87678191,2.32726976
ayrtonzaoui,48.86140923,2.32484453
koinho,48.86304642,2.32973934
Tata_Art,48.8590256,2.29811714
DeanMercer,48.8722801,2.3608
SerenaStifler,48.89961556,2.36868873
OMFGITSLORIS,48.90451731,2.43630853
Hetooune,48.87586962,2.39724326
femiiba,48.87118664,2.33503761
LocosMaruecos,48.79127727,2.3902736
EmericVGR,48.8487446,2.4588561
MeloChretien,48.84692561,2.33777234
SerenaStifler,48.89951183,2.36878444
VictoireSlt,48.84611111,2.34583333
BCritique,48.879445,2.329506
Hetooune,48.87583319,2.39728796
Hova_Francis,48.86400897,2.30489731
BCritique,48.840078,2.323382
SerenaStifler,48.89958954,2.36869997
SerenaStifler,48.89958954,2.36869997
BCritique,48.885922,2.39315
120lazone,48.9293369,2.3819601
CharlierJulien,48.8828583,2.3430099
DVerloes,48.86287969,2.36206055
Doug_Harmoniak,48.8454228,2.3975474
DivinemLee,48.86179762,2.33589429
SerenaStifler,48.8995458,2.36875395
OMFGITSLORIS,48.90435889,2.43612849
SerenaStifler,48.8995458,2.36875395
jodinasser,48.8590256,2.29811714
Jun_negro,48.96104823,2.34578659
Sarah12379,48.87133531,2.30348925
DCeliset,48.836826,2.392346
claudegrunitzky,48.83730284,2.33157599
SerenaStifler,48.89956544,2.36870321
EatMyTips,48.86698833,2.353745
DahanCaro,48.86140923,2.32484453
trendinaliaFR,48.8569,2.3412
Jeanne_Dupont,48.88249616,2.3165772
justashleylove1,48.8638691,2.3812337
aclabaut,48.87199793,2.33170867
erikamneal,48.8590256,2.29811714
KevinnCriss,48.87850947,2.35606371
rinrada_tyr,48.87342988,2.33198466
tmj_fra_itpm,48.856614,2.3522219
BeverlyIDF,48.85483,2.34738
120lazone,48.9293524,2.3819628
___laflame,48.9027798,2.4869989
_AudreyP,48.83454584,2.3483877
claudegrunitzky,48.83730284,2.33157599
Miguelitinho,48.865813,2.360928
manureze,48.83851685,2.32049253
Str1975,48.8631096,2.33779
AnneMareeGale,48.8710098,2.2933199
SerenaStifler,48.89962451,2.36868908
FranceBidet,48.870248,2.316348
emilyleonarose,48.86398466,2.35568606
AmiGuehi,48.8238777,2.3627506
CedricRances,48.84197366,2.32214075
tieandi,48.86437131,2.29666241
___laflame,48.902778,2.4870282
KevinAvraham,48.86140923,2.32484453
