user,latitude,longitude
ThorbenDury,50.8621075,3.30765247
EnnoBigBenno,51.33380671,12.355281
Onkel_N,50.09098928,12.17707453
ptext,53.57206,9.979
arturosach,49.37913445,8.63467318
msgm_,45.44759414,9.20576743
DailySUSSEX,50.81937006,0.37338294
madampopoff,51.3345586,1.4242695
Rabuda_08,46.20016625,6.12914162
ptext,53.57206,9.979
ibenuittenhove,51.03213831,3.1185757
atomozero,45.42567285,12.07353036
charleszaw,48.841035,2.340942
heidiswift,46.58246326,9.83794658
imjoanthankyou,45.259477,19.8425598
linseyloridon,51.35912406,4.53470793
DeIvanchenko,51.10991472,17.03202724
NEROSEAcc,45.36373901,9.70023823
honsolgen,48.0236,10.7739
searchingfortao,52.374,4.8897
DailyNORFOLK,52.62843255,1.29620869
tmj_ger_jobs,49.4400657,7.7491265
chat_perdu,48.842879,0.032741
chat_perdu,47.348312,5.048053
AzzurraCantu,45.47048178,9.1926748
HausOfDanielle,51.61706855,0.01903524
chat_perdu,48.787899,2.190408
quietschbunt,53.07545217,8.80748928
chat_perdu,48.88271231,2.30747529
MayAlbuainain,48.87298,2.29931
berlingske,55.68087366,12.57994249
EleanorRose_Co,52.6327164,1.3641257
Krisschoofs,50.8023677,4.878941
chat_perdu,45.1390362,1.48415635
chat_perdu,48.0043458,0.1917172
marlooz,52.3587206,4.86996173
chat_perdu,48.8861854,2.3798718
williamD1988,53.37304922,9.90724031
Rinkishika,56.143001,13.390421
PooWithEyes,52.97297297,0.02992074
chat_perdu,48.5178214,2.2882929
chiara_macetti,45.5863982,9.8531156
WetterGuenzburg,48.455405,10.276177
maree_info_17,49.7133,0.198333
UbicityPrincip,48.030589,16.489036
tmj_ger_sales,51.2277411,6.7734556
Moermanology,51.8073196,5.72574
ReymondComms,48.8710098,2.2933199
ChiaraMcp,46.50985048,11.75775694
DrachenHerz,48.39934867,9.98296738
Larynson,49.0704951,6.14705778
P2000013,51.5396822,5.1040335
SkullRoxx,51.2390404,6.7391901
T5California,51.329319,12.3736801
BrelRr,48.81689516,9.53321872
FaaezaAA,48.86179762,2.33589429
PooWithEyes,52.97297297,0.02992074
pidybi,52.231111,21.0025
maxienomg,50.85182685,5.69598198
BCritique,48.879445,2.329506
RadioTeddyMusic,52.381905,13.1199934
GCHoopsMuc,47.71387946,11.72601713
meteo_muenchen,48.148024,11.573544
112alarm_NHN,52.6879739,4.7008482
mitchthetenor,48.2042167,16.36147175
Ayde_bury,52.24166667,0.58277778
wusel,52.54054054,13.39057074
CuchulainnRas,45.75365864,5.6854331
GregorVelz,50.898188,4.481885
seheard,51.634754,0.005522
AutoSloaneEsq,51.961,1.344
Onkel_N,50.09101883,12.17713069
tmj_ita_jobs,45.463681,9.1881714
soulcitythebeat,45.13834833,7.7601242
GoyvaertsWesley,51.20261169,4.4215948
DEA_Tracking,45.39955333,11.85115833
trendinaliaBE,50.501,4.4768
Alicia_30th,45.3902283,1.25077
memetali_ozcan,48.9423219,9.297837
pidybi,52.231111,21.0025
abwichsen,47.81315452,14.58984375
maree_info_19,49.4833,0.116667
UbicityPrincip,48.030589,16.489036
FLTWT,47.722269,12.87605
tugceguns,48.87079826,2.30307341
