user,latitude,longitude
trendinaliaFR,48.8569,2.3412
killamina,48.8942761,2.37683907
yankouton,48.8354779,2.3795566
PiAndrade10,48.8567,2.3508
killamina,48.8942761,2.37683907
_grc__,48.91317725,2.46431194
morganemrchl,48.88041844,2.36641759
xkliber,48.863121,2.3708701
killamina,48.89429677,2.37682848
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
LesInutiles,48.86494444,2.34686111
coletteparis,48.86542031,2.33089691
mkaroblis,48.84686934,2.3371911
MathildaDolly,48.8567,2.3508
Cnkkg,48.8713351,2.30348902
mizginformuse,48.86,2.396
aqima,48.84048636,2.31961727
Mr_Lindt,48.87338328,2.33170248
evesaintramon,48.8787689,2.34289
djaminajacksson,48.8567,2.3508
Asgard_Game,48.83468873,2.25690722
Flosh,48.86738256,2.36392736
ESOmadeIT,48.8567,2.3508
flaviensillaro,48.90302884,2.21380291
faisalphoto,48.87088294,2.29322433
Doraeaoi_KW,48.85049691,2.29145307
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
IsmaelMedjdoub,48.8275,2.37638889
TamineGK,48.8557,2.34681
BlackwoodKaren,48.8567,2.3508
Caphi,48.8764003,2.3264603
7MonthsinFrance,48.8718735,2.3705224
iamdjyoyopcman,48.9256096,2.28562
BHalliganArt,48.8567,2.3508
AlinaBaburova,48.8567,2.3508
STANISLAUSHANS,48.8567,2.3508
MOPiOU,48.85717406,2.39727238
HUPERTAN,48.86746503,2.36418438
miruggaber,48.86888642,2.3342793
leegoround,48.85338453,2.34863052
BNPPRE_IDF,48.8922503,2.4155802
WNEP,48.856614,2.352222
Yralpb,48.83049311,2.31687667
jonxlee7,48.86025591,2.32602851
gustaveisfrench,48.863121,2.3708701
juliepeiffer,48.86746503,2.36418438
ZekeFR,48.85666667,2.35083333
SOD_Caviar,48.8513412,2.36658
BeverlyIDF,48.86483,2.34738
Kazuna_KISSme,48.82703817,2.38174456
bonn79,48.87337081,2.33172081
badgalvcky,48.85744722,2.34161667
DomenicoAlfier,48.85510977,2.28856863
Yralpb,48.83048383,2.31684739
al_molitor1,48.8954005,2.3284071
7bc,48.86685222,2.38229503
F_deStAlbin,48.8897718,2.3228714
Yralpb,48.83052775,2.31693051
ozkeef,48.8567,2.3508
Boubouteatime,48.86388889,2.32611111
MagnaPresse,48.86472222,2.33222222
crissxdallas,48.86148756,2.33529121
modareforma,48.86640071,2.30526234
Farsenne,48.7981,2.3928299
KateLoran,48.857888,2.404951
KateLoran,48.857888,2.404951
ReineLouve,48.83864273,2.38994427
french_sultan,48.8553393,2.33431041
DougHolder,48.85403318,2.34812112
padelandplay,48.8567,2.3508
Abioninh0,48.84728413,2.34183401
Kazuna_KISSme,48.82707641,2.38173063
Jessy_DrewB,48.8567,2.3508
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
SophieLacroix_,48.8716087,2.3677599
S_Berland,48.89068027,2.39097016
HUPERTAN,48.86746503,2.36418438
VictorBJAV,48.8485974,2.3941891
maniu_,48.86252592,2.37665073
Kazuna_KISSme,48.82713243,2.38161188
Kazuna_KISSme,48.82711172,2.38164386
Davidikus,48.89130497,2.35298675
Emerson_Careers,48.749358,2.349936
DaSNyB,48.91850612,2.35145924
HUPERTAN,48.86746503,2.36418438
Revicmendes,48.91944162,2.31027023
elkanebizi1,48.8567,2.3508
_melaniefaure,48.84913844,2.29389954
NicknamedMargot,48.863121,2.3708701
QuintilesCareer,48.893217,2.287864
BarnstormerBeer,48.8567,2.3508
DamePhoenix,48.863121,2.3708701
MariusJr11,48.8567,2.3508
wonkawork,48.85111111,2.33472222
NicknamedMargot,48.863121,2.3708701
Oli_Micenmacher,48.8748093,2.3134
RominaAdi,48.8761345,2.36410501
Blahblahnie,48.85336901,2.37199954
NicknamedMargot,48.863121,2.3708701
Uskeus,48.856614,2.3522219
NicknamedMargot,48.863121,2.3708701
NicknamedMargot,48.863121,2.3708701
bettio1974,48.8567,2.3508
mb459_blue,48.85666667,2.35083333
HUPERTAN,48.86746503,2.36418438
Nannounette,48.84403144,2.37242829
Zaromcha,48.86746503,2.36418438
SinfParis,48.8567,2.3508
ImproSupreme,48.8567,2.3508
Tucciii,48.884167,2.332222
Mauro377,48.89550967,2.2713256
Mauro377,48.89551104,2.27132761
parisfind,48.8538285,2.3371574
MonaRcm_,48.89565892,2.32827797
francescopisti,48.87175819,2.36785913
HUPERTAN,48.86746503,2.36418438
schuhjunkie,48.866142,2.312498
DianyPerilla,48.86,2.33333333
koinho,48.86870334,2.3528234
Mauro377,48.89551652,2.27132352
MotsDesprits,48.8870506,2.37515
Mauro377,48.89551649,2.27132172
jomurrayoh,48.85403318,2.34812112
The28July2012,48.80188151,2.28913338
parisfind,48.85382852,2.33704444
chat_perdu,48.88592881,2.33461139
denosang,48.8569143,2.3522218
